nzffdRecordNumber,eventDate,eventTime,institution,waterBody,waterBodyType,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,minimumElevation,distanceOcean,samplingMethod,samplingProtocol,taxonName,taxonCommonName,totalCount,notCountedButPresent,notDetectedButSoughtAtSite,minLength,maxLength,dataVersion
218,14/09/1978,16:15,NIWA,Konini Stream,Not Entered,,342.311,Patea R,1701034,5646357,550,140.6,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
219,19/02/1978,11:00,NIWA,Hautapu River,Not Entered,,327.26,Rangitikei R,1831866,5618530,750,184.9,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
228,26/10/1966,day,NIWA,Camerons Creek,Not Entered,,897.06,Wanganui R,1406932,5228783,60,21.1,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
229,26/10/1966,day,NIWA,Lake Ianthe,Not Entered,,897.06,Wanganui R,1407532,5230783,27,22.2,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
234,16/03/1966,day,NIWA,Little Hohonu River,Not Entered,,911.1,Taramakau R,1461235,5276769,140,22.3,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
235,17/02/1963,,NIWA,Thirteen Mile Creek,Not Entered,,917,Thirteen Mile C,1458444,5314662,10,0,Other - Not listed,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
251,20/10/1978,day,NIWA,North West Creek,Not Entered,,743.05,Taieri R,1359894,4922282,390,54.9,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
252,20/10/1977,day,NIWA,Nardoo Stream,Not Entered,,743.056,Taieri R,1355294,4921274,400,58.4,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
253,21/10/1977,day,NIWA,Verter Burn,Not Entered,,743.053,Taieri R,1369603,4918296,400,50.8,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
256,20/10/1977,,NIWA,Pioneer Stream tributary,Not Entered,,743.054,Taieri R,1360904,4916081,490,50.5,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
257,10/12/1977,day,NIWA,Appos Creek,Not Entered,,520.02,Aorere R,1568927,5490474,28,12.7,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
260,8/06/1979,11:00,Fish and Game Wellington,Catchpool Stream,Not Entered,,296.1,Wainuiomata R,1761476,5420687,50,13.7,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
263,14/10/1980,15:00,NIWA,Verter Burn,Not Entered,,743.053,Taieri R,1372002,4919300,440,54.6,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
265,16/10/1980,15:30,NIWA,Verter Burn,Not Entered,,743.053,Taieri R,1372002,4919300,440,54.6,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
